Text,Label
毛新宇 深情 演唱 新作 《 献给 爷爷 奶奶 的 歌 》 ,0
如果 没有 人 相信 你 ， 那 就 自己 相信 自己 ； 如果 没 人 欣赏 你 ， 那 就 自己 欣赏 自己 ； 如果 没 人 祝福 你 ， 那 就 自己 祝福 自己 。 用心 去 触摸 属于 自己 的 阳光 ， 用 爱 去 创造 属于 自己 的 时空 。 当 自己 读 懂 了 自己 ， 世界 才能 读懂 你 。 ,0
看 了 新闻 感慨 ： 大运会 火炬 ， 怎么 跟 烤土 豆片儿 似的 ， 中间 还有 彩椒 和 洋葱 ~ ,0
浮躁 风气 较盛 的 今天 ， 并不 是 没有 认真 做事 的 人 。 但是 ， “ 认真 ” 的 利益 选择性 和 目的 导向性 ， 使 很多 表面 光鲜 、 有 好处 的 事 做 得 一丝不苟 、 精益求精 ； 而 涉及 他人 利益 、 默默无闻 的 辛苦 事 大多 敷衍了事 、 得过且过 。 到底 有 没有 一个 让 人 “ 认真 ” 的 普国 价值 ？ ,0
[心 ] 女孩 身上 某个 器官 ， 爸爸 碰 两 次 ， 男朋友 碰 一 次 ， 老公 一 次 都 不 能 碰 。 大家 猜猜 是 答案 是 什么 ~~ ,0
不要 去 在意 所 经历 的 事情 是否 值得 ， 最 重要 的 是 自己 是否 愿意 。 晚安 。 [月 亮] ,0
【 夜宴 紫禁城 】 夜宴 紫禁城 —— 这是 故宫 最新 最 时尚 的 用途 。 只不过 ， 这 一 时尚 与 普通人 无关 ， 夜宴 的 朱漆 大门 只 向 “ 拥有 尊荣 地位 的 高端 人群 ” 打开 。 ,0
徐冰 说 ： 素描 《 大卫 》 的 练习 使 他 从 一个 粗糙 的 人 变成 了 一个 精致 的 人 。 在 画 的 过程 中 ， 徐冰 试图 展现 出 自己 的 所有 绘画 能力 ， 直到 没有 什么 可以 施展 时 为止 ， 也 就是 把 自己 逼到 画不下去 的 境地 。 他 正是 在 这个 “ 死地 ” 发现 了 自己 的 擅长 ， 也 发现 了 自己 的 不 擅长 。 并 在 这 一 过程 中 ， 学会 了 处理 问题 、 控制 问题 的 方法 。 ,0
【 6 类杀 精食物 吃 傻 下一代 】 一 、 炸鸡 ， 含致 癌物 丙烯 酰胺 ； 二 、 啤酒 ， 使 尿酸 沉积 ， 肾小管 阻塞 肾脏 衰竭 ； 三 、 咖啡 ， 压抑 副交感 神经 减低性欲 ； 四 、 豆腐 ， 植物雌 激素 减少 精子 数 ； 五 、 奶茶 ， 反式 脂肪酸 减少 男性 荷尔蒙 ； 六 、 腰子 ， 含有 重金 属镉 。 不是 吃 啥 补啥 ！ ！ ,1
"【 爱 鱼生 的 各位 ， 要 小心 啦 ！ 】 原来 ， 日本人 从来 都 不用 三文鱼 做 刺身 吃 的 。 蔡澜 ： "" 正统 的 日本 铺子 ， 绝对 不 会 卖 三文鱼 刺身 ， 因为 他们 老早 知道 它 的 虫极 多 ， 只能 用 盐腌制 过后 烧 熟 来 吃 .. .. .. 三文鱼 鱼肉 颜色 一直 保持 鲜红 ， 即使 腐坏 了 也 不 变 ， 又 闻 不 出 异味 .. .. .. "" --- 爱 鱼生 的 各位 ， 要 小心 啦 ！ via 实用 小百 科 ",1
我 该 怎么办 ， M L 的 时候 ， 老婆 要 我 叫 她 观世 音菩萨 ！ [汗 ] ,0
