Text,Label
毛新宇 深情演唱新作《献给爷爷奶奶的歌》 ,0
如果没有人相信你，那就自己相信自己；如果没人欣赏你，那就自己欣赏自己；如果没人祝福你，那就自己祝福自己。用心去触摸属于自己的阳光，用爱去创造属于自己的时空。当自己读懂了自己，世界才能读懂你。,0
看了新闻感慨：大运会火炬，怎么跟烤土豆片儿似的，中间还有彩椒和洋葱 ~,0
浮躁风气较盛的今天，并不是没有认真做事的人。但是，“认真”的利益选择性和目的导向性，使很多表面光鲜、有好处的事做得一丝不苟、精益求精；而涉及他人利益、默默无闻的辛苦事大多敷衍了事、得过且过。到底有没有一个让人“认真”的普国价值？,0
[心] 女孩身上某个器官，爸爸碰两次，男朋友碰一次，老公一次都不能碰。大家猜猜是答案是什么~~,0
不要去在意所经历的事情是否值得，最重要的是自己是否愿意。晚安。[月亮],0
【夜宴紫禁城】夜宴紫禁城——这是故宫最新最时尚的用途。只不过，这一时尚与普通人无关，夜宴的朱漆大门只向“拥有尊荣地位的高端人群”打开。 ,0
徐冰说：素描《大卫》的练习使他从一个粗糙的人变成了一个精致的人。在画的过程中，徐冰试图展现出自己的所有绘画能力，直到没有什么可以施展时为止，也就是把自己逼到画不下去的境地。他正是在这个“死地”发现了自己的擅长，也发现了自己的不擅长。并在这一过程中，学会了处理问题、控制问题的方法。,0
【6类杀精食物 吃傻下一代】一、炸鸡，含致癌物丙烯酰胺；二、啤酒，使尿酸沉积，肾小管阻塞肾脏衰竭；三、咖啡，压抑副交感神经减低性欲；四、豆腐，植物雌激素减少精子数；五、奶茶，反式脂肪酸减少男性荷尔蒙；六、腰子，含有重金属镉。不是吃啥补啥！！,1
"【爱鱼生的各位，要小心啦！】原来，日本人从来都不用三文鱼做刺身吃的。蔡澜：""正统的日本铺子，绝对不会卖三文鱼刺身，因为他们老早知道它的虫极多，只能用盐腌制过后烧熟来吃......三文鱼鱼肉颜色一直保持鲜红，即使腐坏了也不变，又闻不出异味......"" --- 爱鱼生的各位，要小心啦！via实用小百科",1
我该怎么办，ML的时候，老婆要我叫她观世音菩萨！[汗],0
"《单身男女》据知情人称:其实大家看到的是删减版结局,因为导演不想得罪吴彦祖的粉丝而影响影片票房。真正的结局是：高圆圆在所有人离开后,对吴彦祖说:对不起,我不想骗你,其实我爱的是他,刚才太多人我不想你难堪.然后戴上古仔的戒指离去,在门口发现在一直在等的伤心的古仔,俩人相拥而泣。你觉得怎么样？",1
【水知道答案】王岳川：日本科学家江本胜把一杯水放在巴赫、莫扎特、贝多芬的音乐中“听”了20分钟，用摄像仪把分子结构拍出来，水分子结构像钻石般瑰丽。他又把这杯水搁到重金属摇滚音乐中“听”了20分钟，拍出的分子结构近似于癌细胞结构。您知道您身上有多少水吗？70%。人的大脑里有多少水？90%。,1
继FBI 承认罗斯威尔事件 是飞碟坠毁后，罗斯威尔飞碟坠毁事件幸存外星人视频又被曝光 ,1
#猫哥# 哎呀喂 ~ 在截 Taxi 吗 ? !,0
感人微电影《Leave Me 让我留下》(清晰中文字幕版) 太感人了，很棒的真人短片，真忍不住哭了！！一个刚经历丧妻之痛的丈夫整理妻子留下来的相机所发生的事，穿越时空之后…… ,0
#奢侈品调价# Cartier 自7月1日起，手表类上涨3%，首饰类上涨7%。简单明了一句话，要行动的，要放弃的，自行决定吧。  @奢华购_兰泊,1
